Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
5766;NANTES;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE INTERIEUR;;47.1922718079, -1.61347623098
5768;NANTES;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE EXTERIEUR;;47.1922479643, -1.61364625137
5772;NORT SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;VAULT;;47.4658386452, -1.4807107848
5774;NORT SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D121 RTE DE NOZAY;;47.4602913359, -1.51768106239
5776;NORT SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D178 RTE DE JOUE SUR ERDRE;;47.4575399515, -1.477022322
5784;NORT SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D178 RTE DE PETIT MARS;;47.429859615, -1.48239436855
5790;NOTRE DAME DES LANDES;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PLANCHETTES;LES;47.3529511253, -1.71610279026
5791;NOYAL SUR BRUTZ;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D178 RTE DE MARTIGNE FERCH;;47.7754341878, -1.3502321189
5803;NOZAY;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D2 RTE DE VAY;;47.5583458659, -1.6382751402
5808;ORVAULT;ACCIDENT VOIE PUBLIQUE;;CHEMIN;HAIE;DE LA;47.2993844077, -1.64125497202
5814;ORVAULT;ACCIDENT VOIE PUBLIQUE;;RUE;BEAU SOLEIL;DE;47.2799928736, -1.64175759127
5818;ORVAULT;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.272322848, -1.59248722929
5822;ORVAULT;ACCIDENT VOIE PUBLIQUE;;;SENS RENNES - NANTES;;47.2672776807, -1.58855702053
5824;ORVAULT;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.2672776807, -1.58855702053
5831;ORVAULT;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PORTE DE RENNES;;47.2650212484, -1.59134202501
5832;ORVAULT;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PORTE DE RENNES;;47.2650212484, -1.59134202501
5843;OUDON;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PROVINCE - PARIS;;47.3700412526, -1.28945658782
5844;OUDON;ACCIDENT VOIE PUBLIQUE;;ROUTE;COTE DE PONT CHAPEAU;;47.3630523173, -1.22927652484
5851;PANNECE;ACCIDENT VOIE PUBLIQUE;;RUE;STADE;DU;47.4868003322, -1.23684593293
5852;PAULX;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS MACHECOUL-NANTES;;46.9934748829, -1.75953139979
5853;PAULX;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES-MACHECOUL;;46.9934748829, -1.75953139979
5856;PAULX;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GALAISIERE;LA;46.954647153, -1.77666349103
5860;PAULX;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CINQ ROUTES;LES;46.9427500623, -1.79010447159
5870;PLESSE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PIBOT;LE;47.5539988979, -1.95373348913
