Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
4756;CHATEAU THEBAUD;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MARE NOIRE;LA;47.1329618159, -1.43729984926
4757;CHATEAUBRIANT;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;LAUNAY PRIEUR;;47.7070930407, -1.36450248881
4758;CHATEAUBRIANT;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 RTE D'ISSE;;47.6994022777, -1.39049485674
4759;CHEMERE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PONT BERANGER;DE;47.131390447, -1.83930955857
4762;DONGES;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D771 RDPT DES SIX CROIX;;47.3404246532, -2.09321786259
4773;JUIGNE LES MOUTIERS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D878 RTE DE POUANCE;;47.6881163834, -1.18515214925
4780;LOUISFERT;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 CHATEAUBRIANT - ISSE;;47.6739695341, -1.40886585777
4786;MONTOIR DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS LA BAULE - SAVENAY;;47.3281486037, -2.13170334843
4787;MONTRELAIS;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PARIS - PROVINCE;;47.4174062573, -0.978401159735
4796;NANTES;ACCIDENT VOIE PUBLIQUE;651;RUE;RENAUDIERE;DE LA;47.2504971281, -1.53448046768
4797;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;PETITE BARATTE;DE LA;47.2497724557, -1.52331704644
4798;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;JULES GRANDJOUAN;;47.2486097871, -1.51445042586
4800;NANTES;ACCIDENT VOIE PUBLIQUE;;PLACE;08/05/45;DU;47.2434541413, -1.55641515648
4801;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;BOTTIERE;DE LA;47.2398553915, -1.51957297226
4802;NANTES;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAINTE LUCE;DE;47.238871798, -1.51423869422
4805;NANTES;ACCIDENT VOIE PUBLIQUE;;;RENNES;DE;47.2331768815, -1.56575686878
4809;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;TROIS ROIS;DES;47.2297707959, -1.52917281809
4810;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;JEAN-JULIEN LEMORDANT;;47.2300081651, -1.52074082699
4814;NANTES;ACCIDENT VOIE PUBLIQUE;69;RUE;PAUL BELLAMY;;47.2268164042, -1.56048019105
4820;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;LE NOTRE;;47.2196652658, -1.55754012982
4821;NANTES;ACCIDENT VOIE PUBLIQUE;;RUE;LEOPOLD CASSEGRAIN;;47.2196008848, -1.55864593809
4824;NANTES;ACCIDENT VOIE PUBLIQUE;5;RUE;TCHECOSLOVAQUIE;DE;47.2147798554, -1.53224067361
4828;NANTES;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;LAUNAY;DE;47.2104509399, -1.57324679152
4837;PETIT AUVERNE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D29 RTE DE MOISDON RIVIERE;;47.6077473464, -1.30189983614
4840;REZE;ACCIDENT VOIE PUBLIQUE;3;RUE;BLAISE PASCAL;;47.157222568, -1.53423710093
4842;ROUGE;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAINT JOSEPH;DE;47.7862071568, -1.45060793365
4846;ST BREVIN LES PINS;ACCIDENT VOIE PUBLIQUE;;AVENUE;RAYMOND POINCARE;;47.2601612952, -2.16083084435
4854;ST SEBASTIEN SUR LOIRE;ACCIDENT VOIE PUBLIQUE;;ROUTE;CLISSON;DE;47.1907133577, -1.5217811444
4861;TRIGNAC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PORNIC - GUERANDE;;47.3038553824, -2.21296520927
4875;ANCENIS;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PARIS - PROVINCE;;47.3957906455, -1.21529976623
4878;ANCENIS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D923 RTE DE CANDE;;47.3942383584, -1.189219277
4894;ARTHON EN RETZ;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BELLE EPINE;LA;47.1270344799, -1.93951481893
4896;ARTHON EN RETZ;ACCIDENT VOIE PUBLIQUE;;RUE;CHAUVE;DE;47.1190321403, -1.95215425341
4899;ASSERAC;ACCIDENT VOIE PUBLIQUE;;;PEN BE;;47.4244361491, -2.45706590506
4902;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751 RTE LEVEE LA DIVATTE;;47.2345981686, -1.46142171289
4907;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PORTE DU VIGNOBLE;;47.2278934461, -1.46509729117
4909;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS CHOLET - NANTES;;47.2265000104, -1.46310768577
4912;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE EXTERIEUR;;47.2192250775, -1.47586326472
4918;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS CHOLET - NANTES;;47.2010441229, -1.44899803974
4920;BASSE GOULAINE;ACCIDENT VOIE PUBLIQUE;;ROUTE;LOROUX BOTTEREAU;DU;47.1947977673, -1.46064630873
4922;BATZ SUR MER;ACCIDENT VOIE PUBLIQUE;;ZONE INDUSTRIELLE,ARTISANALE;ZONE ACT. DU PRAD VELIN;;47.2806739816, -2.47161040931
4923;BATZ SUR MER;ACCIDENT VOIE PUBLIQUE;;RUE;OLIVIER GUICHARD;;47.2779011733, -2.46027692251
4926;BESNE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D773 PONTCHATEAU - DONGES;;47.3928433328, -2.10025172007
4928;BESNE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D204 RTE DE PRINQUIAU;;47.3804942083, -2.07001615032
4931;BLAIN;ACCIDENT VOIE PUBLIQUE;;ROUTE;MESPRAS;DE;47.4897573144, -1.76531935496
4942;BLAIN;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;HAMEAU LES FORGES;;47.4570967839, -1.71081158709
4944;BLAIN;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;SAINT RAPHAEL;;47.4496945824, -1.84285258735
4945;BLAIN;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;RETENTAIS;LA;47.436932429, -1.78299896974
4949;BLAIN;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;ARCHE DE FOUAN;L';47.4091004316, -1.73436847128
4955;BOUAYE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D11 RTE DE BRAINS;;47.1455124867, -1.69719265202
4960;BOUAYE;ACCIDENT VOIE PUBLIQUE;;RUE;NANTES;DE;47.1427655581, -1.68017932406
4963;BOUAYE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D264 RTE DE ST MARS COUTAI;;47.1378354348, -1.69726154906
4971;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PERIPHERIQUE EXTERIEUR;;47.1810611427, -1.61180360877
4975;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;PORTE DE BOUGUENAIS;;47.1789042157, -1.60745681329
4977;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;19;RUE;EUGENE POTTIER;;47.1781721887, -1.6274694903
4983;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;PAIMBOEUF - NANTES;;47.1737236632, -1.61275520691
4984;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MATRASSERIE;LA;47.1722029688, -1.64410694301
4989;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;RUE;JULES VALLES;;47.1725096565, -1.57203533869
4994;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D723 NANTES - PAIMBOEUF;;47.1672301054, -1.62191795302
4995;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D723 PAIMBOEUF - NANTES;;47.1670989611, -1.62180259748
4996;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D723 PAIMBOEUF - NANTES;;47.1670989611, -1.62180259748
4997;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;21;RUE;GALHEUR;DE;47.1633249597, -1.57779657548
4999;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;RUE;DROUARDS;DES;47.1594983566, -1.57112547473
5000;BOUGUENAIS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751A RTE DE BOUAYE;;47.1528410977, -1.63668654142
5001;BOURGNEUF EN RETZ;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PETITE PERINIERE;LA;47.0734212606, -1.93728521231
5004;BOURGNEUF EN RETZ;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GLEMERIE;LA;47.0582565146, -1.91839816251
5012;BOUSSAY;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D149 CLISSON - TORFOU;;47.0517330275, -1.16056054323
5014;BOUVRON;ACCIDENT VOIE PUBLIQUE;;CHEMIN;FORET;DE LA;47.4156953902, -1.84594679395
5020;BRAINS;ACCIDENT VOIE PUBLIQUE;;ROND-POINT,GIRATOIRE;LORIERE;DE;47.1760282221, -1.70445874478
5033;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;CHEMIN;GRALAN;DE;47.3135258258, -1.43869438361
5038;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D37 RTE DE SUCE SUR ERDRE;;47.3080846669, -1.50590644229
5040;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;;PORT JEAN;DE;47.305454601, -1.50239384518
5043;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PARIS - PROVINCE;;47.2981798519, -1.43813980335
5053;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PARIS - PROVINCE;;47.2912882383, -1.47629170412
5057;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - VIEILLEVILLE;;47.2884485007, -1.47882904689
5061;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;;MOULIN BOISSEAU;DU;47.2836072625, -1.47516142027
5064;CARQUEFOU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VIEILLEVILLE-NANTES;;47.2794950214, -1.47968542631
5072;CASSON;ACCIDENT VOIE PUBLIQUE;16;RUE;OREE DU BOURG;DE L';47.3809696486, -1.5592487858
5079;CHATEAUBRIANT;ACCIDENT VOIE PUBLIQUE;;RUE;27 OTAGES;DES;47.7196266574, -1.36194845087
5087;CHAUVE;ACCIDENT VOIE PUBLIQUE;2;LIEU-DIT,VILLAGE,HAMEAU;AUVIERE;L';47.1803698426, -2.0059600814
5090;CHAUVE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;RIVIERE MULON;LA;47.1615886374, -1.97565351106
5094;CHEIX EN RETZ;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D723 PAIMBOEUF - NANTES;;47.1849916532, -1.78503382255
5101;CLISSON;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D54 RTE DE ST HILAIRE CLIS;;47.0819753137, -1.29041098999
5102;CONQUEREUIL;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;RINAIE;LA;47.6255684886, -1.76516560361
5103;CORCOUE SUR LOGNE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GRANDE PARAIS;LA;46.9774826416, -1.60370296713
5122;COUERON;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.263230901, -1.70497583826
5133;COUERON;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CHEF DE L'EAU;LE;47.2250106739, -1.71860411914
5134;COUERON;ACCIDENT VOIE PUBLIQUE;;RUE;FERNAND DOCEUL;;47.2207483772, -1.722234377
5135;COUERON;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;FRANCOIS BLANCHOT;;47.2139358821, -1.73023136452
5136;COUERON;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;LIBERATION;DE LA;47.2147914147, -1.6871197634
5139;COUERON;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;FRANCOIS BLANCHOT;;47.2121829089, -1.73752754194
5142;COUERON;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D107 RTE DE INDRE;;47.2086863682, -1.70662079787
5151;DERVAL;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.6991635993, -1.70330002525
5155;DERVAL;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.6720616538, -1.68806237608
5158;DERVAL;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D775 RTE DE CHATEAUBRIANT;;47.671873202, -1.64724733959
5164;DERVAL;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PAS D'HIN;LE;47.6528424342, -1.6617199208
5166;DONGES;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D773 RTE DE PONTCHATEAU;;47.369481495, -2.09883958015
5168;DONGES;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;SENCIE;LA;47.3440148532, -2.07851053514
5180;ERBRAY;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BUTTE DES RIDAIS;LA;47.6910391419, -1.39016056464
5197;FAY DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;PONT,VIADUC,PASSERELLE;VILHOUIN;;47.4175642109, -1.81506493404
5249;GRANDCHAMPS;ACCIDENT VOIE PUBLIQUE;;PONT,VIADUC,PASSERELLE;GUERIN;;47.3578127042, -1.64256057076
5255;GUEMENE PENFAO;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;FRIGUEL;;47.6488243173, -1.8746879853
5269;GUENROUET;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CHATEAU ROUGE;LE;47.5202564412, -2.00955156471
5271;GUENROUET;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D2 RTE DE ST GILDAS D BOIS;;47.5202749657, -1.98568239654
5273;GUENROUET;ACCIDENT VOIE PUBLIQUE;;ROUTE;RONDE;DE;47.516383169, -1.95878509505
5276;GUENROUET;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D43 QUILLY - ST GILDAS BOI;;47.4854755335, -1.97867098202
5278;GUERANDE;ACCIDENT VOIE PUBLIQUE;;PONT,VIADUC,PASSERELLE;BOUZAIRE NORD;DE;47.3696594515, -2.38420174721
5280;GUERANDE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;KERLOUIS;;47.3629614586, -2.41197886504
5282;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROUTE;BREZEAN;DE;47.3605772583, -2.45098452793
5283;GUERANDE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MIROUX;;47.3562089362, -2.43523554836
5291;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D252 RTE DE MESQUER;;47.3499726761, -2.44460985423
5295;GUERANDE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;COGEA;;47.3443581835, -2.35136430966
5300;GUERANDE;ACCIDENT VOIE PUBLIQUE;5;RUE;BUISSONS;DES;47.3292296586, -2.44193060077
5301;GUERANDE;ACCIDENT VOIE PUBLIQUE;8;LIEU-DIT,VILLAGE,HAMEAU;KERBACU;;47.3324023058, -2.36284068706
5309;GUERANDE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PRADEL;;47.3183356674, -2.45146496647
5310;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROND-POINT,GIRATOIRE;VILLENEUVE;DE;47.3195861333, -2.41464226916
5316;GUERANDE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PORNIC - GUERANDE;;47.3082680534, -2.38958776536
5317;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;KERHAUT;DE;47.3074030268, -2.38760334236
5320;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D92 VILLENEUVE -  LA BAULE;;47.3027614044, -2.40937021778
5326;GUERANDE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D45 RTE DU POULIGUEN;;47.2865167874, -2.43702490945
5328;HAUTE GOULAINE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D74 RTE DE L'ILE CHALAND;;47.2084397976, -1.42943225689
5329;HAUTE GOULAINE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;SAULZAIE;LA;47.19260927, -1.41085208146
5330;HAUTE GOULAINE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS CHOLET - NANTES;;47.1885468508, -1.42717429194
5335;HERBIGNAC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D774 RTE DE GUERANDE;;47.4280200962, -2.33417040381
5338;HERBIGNAC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D47 RTE DE ST LYPHARD;;47.4101608821, -2.29493424224
5343;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;FUT LEVE;LE;47.4451336831, -1.60066156956
5344;HERIC;ACCIDENT VOIE PUBLIQUE;;;FUT LEVE;LE;47.4451336831, -1.60066156956
5347;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MALMARES;LES;47.4420993962, -1.57859920664
5348;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;FEUILLETAIS;LA;47.4348169042, -1.67111468437
5349;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;EMPIRE;L';47.4279032055, -1.6639851149
5350;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.4281968051, -1.63795318215
5356;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.4163700259, -1.64191489535
5361;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.405616101, -1.64322201522
5362;HERIC;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CROIX ERRAUD;LA;47.4010717441, -1.65590987765
5363;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - RENNES;;47.3924643705, -1.64432313616
5364;HERIC;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.3788215146, -1.64268199847
5370;ISSE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D29 RTE DE MOISDON RIVIERE;;47.6228262565, -1.43469422471
5371;ISSE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D18 RTE DE MEILLERAYE BNE;;47.6045272526, -1.44304839345
5376;JOUE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D24 RTE D'ABBARETZ;;47.5138798992, -1.44315006045
5378;JOUE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D33 RTE DE SAFFRE;;47.5021860529, -1.46670550978
5382;JOUE SUR ERDRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D178 RTE DE NANTES;;47.4846941445, -1.44259282014
5383;JUIGNE LES MOUTIERS;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PUITS RENAUD;LE;47.690853707, -1.21888337178
5384;JUIGNE LES MOUTIERS;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D878 RTE D'ANCENIS;;47.6741651635, -1.18651890673
5385;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;;;DE;47.3017997131, -2.37078662454
5388;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAUDRAIE;DE LA;47.3001284689, -2.35272920956
5394;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;AVENUE;F.-RENE DE CHATEAUBRIANT;;47.2824510217, -2.38227212274
5395;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;ROUTE;GUERANDE;DE;47.2832295524, -2.32207256849
5397;LA BAULE ESCOUBLAC;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;OCEAN;DE L';47.2771175027, -2.36810938166
5401;LA BOISSIERE DU DORE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D763 RTE DE VALLET;;47.2303884074, -1.22126919459
5411;LA CHAPELLE DES MARAIS;ACCIDENT VOIE PUBLIQUE;48;RUE;PENLYS;DE;47.4456717032, -2.23647001397
5415;LA CHAPELLE HEULIN;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS CHOLET - NANTES;;47.1595862585, -1.34854436899
5453;LA HAYE FOUASSIERE;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS CHOLET - NANTES;;47.1713882828, -1.38398379448
5457;LA HAYE FOUASSIERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;FAUBRETIERE;LA;47.1604227104, -1.4229666683
5458;LA HAYE FOUASSIERE;ACCIDENT VOIE PUBLIQUE;23;ROUTE;CLISSON;DE;47.1597055175, -1.38404383905
5460;LA LIMOUZINIERE;ACCIDENT VOIE PUBLIQUE;;PONT,VIADUC,PASSERELLE;POULLERIE;DE LA;46.9680771805, -1.68525732734
5465;LA MEILLERAYE DE BRETAGNE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D2 RTE D'ABBARETZ;;47.5610487781, -1.41288461018
5471;LA REGRIPPIERE;ACCIDENT VOIE PUBLIQUE;15;RUE;ECOLE;DE L';47.1818811243, -1.17863475597
5472;LA REGRIPPIERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;ROUSSIERE;LA;47.1637304849, -1.19324814305
5480;LA TURBALLE;ACCIDENT VOIE PUBLIQUE;;BOULEVARD;LAUVERGNAC;DE;47.3589102868, -2.5026923318
5482;LA TURBALLE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D33 RTE DE ST MOLF;;47.3589385909, -2.48390134382
5483;LA TURBALLE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D99 RTE DE GUERANDE;;47.345084784, -2.48632303262
5484;LA TURBALLE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;LERGAT;;47.3313768492, -2.48503171744
5485;LAVAU SUR LOIRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D3 RTE DE SAVENAY;;47.3251999529, -1.96614314838
5490;LE BIGNON;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D137 NANTES - MONTAIGU;;47.1151292577, -1.4815225639
5493;LE BIGNON;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;JANIERE;LA;47.0868780835, -1.54466867028
5500;LE CELLIER;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS PROVINCE - PARIS;;47.3321015908, -1.39779012384
5501;LE CELLIER;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D68 RTE DE ST MARS DESERT;;47.3275184369, -1.34162812375
5509;LE GAVRE;ACCIDENT VOIE PUBLIQUE;;ROND-POINT,GIRATOIRE;BELLE ETOILE;DE LA;47.5167164552, -1.80506437333
5511;LE GAVRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D15 BLAIN - GUEMENE PENFAO;;47.5082264037, -1.79107006895
5513;LE LANDREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CHATELIER;LE;47.215068972, -1.26800168007
5518;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;OUCHE DU CHENE;L';47.2455565171, -1.3645313063
5523;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D37 RTE DU LANDREAU;;47.2357474748, -1.32594464544
5524;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;CARRIERE;LA;47.2354648766, -1.30443969
5532;LE LOROUX BOTTEREAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BEGASSIERE;LA;47.2128761836, -1.34169328072
5543;LE PELLERIN;ACCIDENT VOIE PUBLIQUE;;ALLEE;ECLUSE;DE L';47.2081260511, -1.7839867047
5544;LE PELLERIN;ACCIDENT VOIE PUBLIQUE;;RUE;GENOLIERE;DE LA;47.1979699994, -1.76237597447
5546;LE POULIGUEN;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D45 RTE DE GUERANDE;;47.282365507, -2.43367430691
5547;LE POULIGUEN;ACCIDENT VOIE PUBLIQUE;;RUE;PAIX;DE LA;47.2758507761, -2.43800547
5550;LEGE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PERANCHE;LA;46.9228169911, -1.6211560948
5557;LES SORINIERES;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - NIORT;;47.1430645009, -1.51407283201
5565;LIGNE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;FAYAU;LE;47.4361875618, -1.375352719
5575;LIRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751 RTE DE BOUZILLE;;47.3423629681, -1.14769508146
5576;LIRE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751 RTE DE BOUZILLE;;47.3423629681, -1.14769508146
5580;LOUISFERT;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D35 CHATEAUBRIANT - ISSE;;47.6739695341, -1.40886585777
